iter	Passed	Remaining
1376	272349	716572
1377	272560	716410
1378	272739	716164
1379	272891	715846
1380	273041	715523
1381	273253	715362
1382	273425	715097
1383	273591	714817
1384	273776	714585
1385	273990	714431
1386	274171	714189
1387	274370	713994
1388	274544	713736
1389	274722	713487
1390	274899	713237
1391	275102	713053
1392	275262	712756
1393	275421	712459
1394	275606	712230
1395	275801	712026
1396	275979	711777
1397	276163	711546
1398	276349	711318
1399	276524	711063
1400	276708	710830
1401	276884	710578
1402	277067	710343
1403	277255	710121
1404	277460	709942
1405	277674	709787
1406	277882	709616
1407	278062	709374
1408	278294	709265
1409	278524	709151
1410	278693	708881
1411	278872	708635
1412	279085	708477
1413	279248	708192
1414	279421	707933
1415	279586	707654
1416	279753	707379
1417	279943	707162
1418	280131	706941
1419	280337	706767
1420	280514	706517
1421	280713	706323
1422	280892	706080
1423	281046	705773
1424	281232	705547
1425	281432	705357
1426	281624	705147
1427	281828	704965
1428	282043	704812
1429	282226	704580
1430	282398	704318
1431	282560	704033
1432	282732	703774
1433	282941	703603
1434	283157	703453
1435	283379	703317
1436	283566	703094
1437	283761	702892
1438	283949	702670
1439	284154	702493
1440	284370	702342
1441	284531	702055
1442	284742	701890
1443	284945	701706
1444	285143	701511
1445	285350	701339
1446	285521	701076
1447	285702	700839
1448	285901	700644
1449	286073	700386
1450	286249	700137
1451	286457	699965
1452	286625	699698
1453	286825	699507
1454	286969	699180
1455	287143	698926
1456	287328	698700
1457	287483	698399
1458	287699	698246
1459	287862	697969
1460	288063	697780
1461	288230	697510
1462	288438	697338
1463	288640	697152
1464	288802	696871
1465	288972	696608
1466	289191	696463
1467	289390	696272
1468	289567	696025
1469	289791	695893
1470	290034	695806
1471	290236	695621
1472	290404	695354
1473	290557	695052
1474	290736	694811
1475	290963	694686
1476	291176	694524
1477	291338	694244
1478	291535	694047
1479	291771	693943
1480	291962	693730
1481	292132	693470
1482	292327	693267
1483	292517	693054
1484	292756	692955
1485	293100	693106
1486	293332	692989
1487	293579	692911
1488	293794	692756
1489	294003	692585
1490	294248	692501
1491	294520	692479
1492	294696	692231
1493	294913	692079
1494	295156	691988
1495	295392	691882
1496	295601	691712
1497	295868	691675
1498	296079	691510
1499	296329	691435
1500	296551	691293
1501	296709	691004
1502	296907	690807
1503	297158	690736
1504	297330	690477
1505	297540	690308
1506	297755	690153
1507	297969	689993
1508	298194	689859
1509	298402	689684
1510	298592	689470
1511	298811	689320
1512	298989	689077
1513	299171	688844
1514	299345	688593
1515	299520	688343
1516	299733	688181
1517	299884	687877
1518	300088	687695
1519	300288	687502
1520	300471	687271
1521	300632	686990
1522	300832	686799
1523	301055	686659
1524	301262	686482
1525	301420	686195
1526	301573	685897
1527	301763	685683
1528	301966	685498
1529	302143	685253
1530	302524	685471
1531	302736	685306
1532	302978	685210
1533	303167	684992
1534	303416	684911
1535	303606	684695
1536	303796	684480
1537	304010	684320
1538	304244	684204
1539	304421	683960
1540	304623	683773
1541	304832	683600
1542	305036	683416
1543	305245	683244
1544	305414	682981
1545	305580	682714
1546	305777	682513
1547	305994	682359
1548	306183	682143
1549	306363	681906
1550	306555	681696
1551	306730	681446
1552	306925	681244
1553	307088	680970
1554	307265	680725
1555	307441	680481
1556	307598	680194
1557	307843	680101
1558	308021	679860
1559	308234	679696
1560	308423	679480
1561	308618	679277
1562	308834	679120
1563	309055	678973
1564	309262	678796
1565	309445	678566
1566	309657	678400
1567	309884	678266
1568	310074	678053
1569	310267	677844
1570	310476	677673
1571	310658	677440
1572	310830	677188
1573	311010	676950
1574	311231	676804
1575	311420	676588
1576	311635	676429
1577	311851	676272
1578	312033	676040
1579	312204	675784
1580	312381	675542
1581	312586	675361
1582	312774	675142
1583	312985	674973
1584	313240	674900
1585	313457	674743
1586	313678	674597
1587	313939	674534
1588	314170	674408
1589	314392	674263
1590	314645	674184
1591	314884	674074
1592	315109	673934
1593	315307	673737
1594	315516	673564
1595	315720	673379
1596	315975	673301
1597	316212	673187
1598	316440	673053
1599	316666	672917
1600	316872	672734
1601	317108	672618
1602	317329	672469
1603	317550	672320
1604	317756	672140
1605	317958	671949
1606	318172	671785
1607	318424	671702
1608	318669	671602
1609	318885	671442
1610	319140	671364
1611	319385	671263
1612	319604	671109
1613	319863	671040
1614	320075	670869
1615	320288	670702
1616	320482	670495
1617	320742	670427
1618	320964	670277
1619	321194	670145
1620	321423	670012
1621	321656	669885
1622	321890	669762
1623	322138	669666
1624	322393	669587
1625	322625	669458
1626	322855	669324
1627	323061	669141
1628	323258	668941
1629	323490	668810
1630	323729	668695
1631	323973	668592
1632	324228	668510
1633	324444	668348
1634	324700	668267
1635	324901	668074
1636	325151	667980
1637	325402	667889
